PuzzleId,Rating,FEN,Moves,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
r4AfA,1433,3r2k1/2q2ppp/pB6/1p6/6nn/2P2N2/PP3PPP/4RQK1 b - - 1 21,h4f3 g2f3 c7h2,75,98,875,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/DCYuShe9#41,
ZJ8Qp,1433,8/ppp2Q2/2k2p2/2Np4/P2P4/1Pq1P1b1/3N1PP1/3RK3 b - - 0 29,c3e3 e1f1 e3f2,75,97,5292,endgame mate mateIn2 pin short,https://lichess.org/agPRFZE2#57,
3naVc,1433,4r1k1/3R3N/p5p1/2p3N1/Pp6/2q5/6PP/3R2K1 b - - 2 36,e8e1 g1f2 c3e3,78,96,32261,endgame mate mateIn2 short,https://lichess.org/fz9jaPYA#71,
u8cPs,1434,r7/1p1k4/2p2qp1/5p2/2QP1n2/2N4P/PP3P2/R3R1K1 b - - 0 23,f6g5 g1f1 g5g2,164,88,16,mate mateIn2 middlegame short,https://lichess.org/NsvT3sBy#45,
zqJNr,1434,5rk1/p4n2/2p2p2/1p2pN2/1P1nP3/P4PK1/2Pr2PR/7R w - - 2 39,f5e7 g8g7 h2h7,75,94,627,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/JBE6kKQX/black#76,
X65Of,1434,8/p4pk1/1p1Q3p/6n1/6K1/1B4P1/P4r2/8 b - - 0 58,f7f5 g4h5 f2h2,75,100,467,endgame mate mateIn2 short,https://lichess.org/9n5ZBiQn#115,
087Vd,1434,1R3bk1/3qpp1p/3p2p1/3P4/p7/1r1P2P1/1Q2PPKP/8 w - - 4 26,b8f8 g8f8 b2h8,80,93,3638,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/TUAq8rXV/black#50,
9LzlR,1434,8/8/8/8/5pk1/6p1/6Kp/R7 b - - 3 85,f4f3 g2h1 g4h3 a1a2 g3g2 a2g2 f3g2,75,90,2691,advancedPawn endgame exposedKing mate mateIn4 rookEndgame veryLong,https://lichess.org/NRZsX7c9#169,
QJ8sd,1434,r5k1/p1p2pbN/1p5p/8/4Bn2/2P2q1P/PPQ2P2/R4RK1 b - - 1 23,f4h3 g1h2 g7e5,75,95,262,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/bD1wu54u#45,
JN4Fa,1434,rnbqr2k/pp3Qpp/3b4/4N3/2Bp2n1/1P6/PBP3PP/RN2K2R w KQ - 0 14,f7g8 e8g8 e5f7,92,74,751,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/J7SOPmAp/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
